transaction_id,transaction_date,account_id,customer_id,transaction_type,category,merchant,amount,payment_method,location,is_recurring,is_unusual,balance_after_transaction
TXN0000032,2025-01-02,ACC00029,CUST0023,Expense,Dining,LunchLane,-56.61,Credit Card,Liverpool,False,False,6992.88
TXN0000033,2025-01-02,ACC00031,CUST0025,Expense,Rent,CityRent,-1102.75,Direct Debit,London,True,False,-146.96
TXN0000034,2025-01-02,ACC00032,CUST0026,Expense,Rent,CityRent,-983.32,Direct Debit,Cardiff,True,False,1497.73
TXN0000035,2025-01-02,ACC00032,CUST0026,Expense,Shopping,StyleMarket,-86.6,Debit Card,Birmingham,False,False,1411.13
TXN0000036,2025-01-02,ACC00036,CUST0029,Expense,Rent,CityRent,-1158.58,Direct Debit,Leeds,True,False,6047.78
TXN0000037,2025-01-02,ACC00038,CUST0031,Expense,Rent,CityRent,-1127.04,Direct Debit,Leeds,True,False,-238.53
TXN0000038,2025-01-02,ACC00039,CUST0031,Expense,Rent,CityRent,-1423.43,Direct Debit,Leeds,True,False,23.97
TXN0000039,2025-01-02,ACC00040,CUST0032,Expense,Groceries,DailyBasket,-58.42,Debit Card,London,False,False,4475.16
TXN0000040,2025-01-02,ACC00045,CUST0037,Expense,Rent,CityRent,-1667.81,Direct Debit,Leeds,True,False,6573.41
TXN0000041,2025-01-02,ACC00050,CUST0042,Expense,Rent,CityRent,-1597.4,Direct Debit,London,True,False,1642.04
TXN0000042,2025-01-02,ACC00051,CUST0043,Expense,Rent,CityRent,-1338.02,Direct Debit,Liverpool,True,False,6471.88
TXN0000043,2025-01-02,ACC00052,CUST0043,Expense,Rent,CityRent,-1073.0,Direct Debit,Liverpool,True,False,5922.71
TXN0000044,2025-01-02,ACC00056,CUST0046,Expense,Rent,CityRent,-1060.0,Direct Debit,Cardiff,True,False,-14.6
TXN0000045,2025-01-02,ACC00063,CUST0052,Expense,Transport,RideLoop,-75.28,Credit Card,London,False,False,4663.98
TXN0000046,2025-01-02,ACC00066,CUST0054,Expense,Groceries,GreenGrocer,-84.88,Debit Card,Liverpool,False,False,2269.83
TXN0000047,2025-01-02,ACC00081,CUST0067,Expense,Rent,CityRent,-1905.13,Direct Debit,London,True,False,6210.48
TXN0000048,2025-01-02,ACC00085,CUST0070,Expense,Rent,CityRent,-1114.21,Direct Debit,Bristol,True,False,1764.21
TXN0000049,2025-01-02,ACC00096,CUST0078,Expense,Rent,CityRent,-1249.3,Direct Debit,Bristol,True,False,1108.84
TXN0000050,2025-01-02,ACC00103,CUST0084,Expense,Rent,CityRent,-1755.29,Direct Debit,Birmingham,True,False,4206.7
TXN0000051,2025-01-02,ACC00104,CUST0085,Expense,Rent,CityRent,-1289.68,Direct Debit,Liverpool,True,False,2888.97
TXN0000052,2025-01-02,ACC00107,CUST0087,Expense,Rent,CityRent,-876.13,Direct Debit,Bristol,True,False,6337.41
TXN0000053,2025-01-02,ACC00108,CUST0088,Expense,Rent,CityRent,-1660.51,Direct Debit,Liverpool,True,False,137.53
TXN0000054,2025-01-02,ACC00113,CUST0092,Expense,Rent,CityRent,-1060.08,Direct Debit,Cardiff,True,False,5050.95
TXN0000055,2025-01-02,ACC00116,CUST0095,Expense,Rent,CityRent,-1249.42,Direct Debit,Liverpool,True,False,3.02
TXN0000056,2025-01-02,ACC00119,CUST0096,Expense,Shopping,ShopHub,-288.02,Credit Card,Online,False,False,2987.76
TXN0000057,2025-01-02,ACC00121,CUST0098,Expense,Rent,CityRent,-1696.08,Direct Debit,Manchester,True,False,278.91
TXN0000058,2025-01-02,ACC00122,CUST0099,Expense,Rent,CityRent,-1338.68,Direct Debit,Glasgow,True,False,-178.9
TXN0000059,2025-01-02,ACC00123,CUST0099,Expense,Rent,CityRent,-2103.24,Direct Debit,Glasgow,True,False,46.28
TXN0000060,2025-01-03,ACC00012,CUST0010,Expense,Rent,CityRent,-936.31,Direct Debit,Edinburgh,True,False,3637.47
TXN0000061,2025-01-03,ACC00019,CUST0015,Expense,Rent,CityRent,-1767.19,Direct Debit,Cardiff,True,False,5751.0
TXN0000062,2025-01-03,ACC00022,CUST0018,Expense,Rent,CityRent,-1852.13,Direct Debit,Liverpool,True,False,4512.58
TXN0000063,2025-01-03,ACC00032,CUST0026,Expense,Healthcare,GymCore,-59.35,Direct Debit,Cardiff,True,False,1351.78
TXN0000064,2025-01-03,ACC00034,CUST0028,Expense,Healthcare,GymCore,-66.69,Direct Debit,Leeds,True,False,2968.8
TXN0000065,2025-01-03,ACC00043,CUST0035,Expense,Healthcare,GymCore,-61.02,Direct Debit,Manchester,True,False,5870.33
TXN0000066,2025-01-03,ACC00055,CUST0046,Expense,Rent,CityRent,-1886.13,Direct Debit,Cardiff,True,False,2265.07
TXN0000067,2025-01-03,ACC00058,CUST0048,Expense,Rent,CityRent,-1680.76,Direct Debit,Glasgow,True,False,3896.69
TXN0000068,2025-01-03,ACC00068,CUST0056,Expense,Rent,CityRent,-982.5,Direct Debit,Glasgow,True,False,7155.63
TXN0000069,2025-01-03,ACC00068,CUST0056,Expense,Healthcare,GymCore,-31.16,Direct Debit,Glasgow,True,False,7124.47
TXN0000070,2025-01-03,ACC00075,CUST0062,Expense,Rent,CityRent,-1289.19,Direct Debit,London,True,False,6119.3
TXN0000071,2025-01-03,ACC00076,CUST0063,Expense,Healthcare,GymCore,-49.66,Direct Debit,Edinburgh,True,False,3064.96
TXN0000072,2025-01-03,ACC00085,CUST0070,Expense,Shopping,ShopHub,-69.65,Debit Card,Glasgow,False,False,1694.56
TXN0000073,2025-01-03,ACC00090,CUST0074,Transfer,Transfers,Internal Transfer,-315.92,Bank Transfer,London,False,False,6836.54
TXN0000074,2025-01-03,ACC00093,CUST0076,Expense,Rent,CityRent,-2101.92,Direct Debit,Edinburgh,True,False,-307.8
TXN0000075,2025-01-03,ACC00097,CUST0079,Expense,Rent,CityRent,-1280.81,Direct Debit,Liverpool,True,False,5552.76
TXN0000076,2025-01-03,ACC00101,CUST0082,Expense,Rent,CityRent,-1797.01,Direct Debit,Leeds,True,False,6834.66
TXN0000077,2025-01-03,ACC00102,CUST0083,Expense,Rent,CityRent,-1778.04,Direct Debit,Glasgow,True,False,-871.71
TXN0000078,2025-01-03,ACC00103,CUST0084,Expense,Healthcare,GymCore,-39.41,Direct Debit,Birmingham,True,False,4167.29
TXN0000079,2025-01-03,ACC00104,CUST0085,Expense,Groceries,DailyBasket,-47.78,Credit Card,Bristol,False,False,2841.19
TXN0000080,2025-01-03,ACC00105,CUST0085,Expense,Rent,CityRent,-1226.87,Direct Debit,Liverpool,True,False,7492.85
TXN0000081,2025-01-03,ACC00109,CUST0088,Expense,Entertainment,GameHub,-59.99,Debit Card,Birmingham,False,False,7524.27
TXN0000082,2025-01-03,ACC00110,CUST0089,Expense,Healthcare,GymCore,-58.48,Direct Debit,Birmingham,True,False,5046.91
TXN0000083,2025-01-03,ACC00114,CUST0093,Expense,Rent,CityRent,-2067.31,Direct Debit,Edinburgh,True,False,689.76
TXN0000084,2025-01-03,ACC00117,CUST0095,Expense,Healthcare,GymCore,-33.79,Direct Debit,Liverpool,True,False,5600.01
TXN0000085,2025-01-03,ACC00124,CUST0100,Expense,Rent,CityRent,-1907.35,Direct Debit,Manchester,True,False,3699.14
TXN0000086,2025-01-03,ACC00128,CUST0103,Expense,Shopping,TechCorner,-314.36,Debit Card,Cardiff,False,False,2350.62
TXN0000087,2025-01-03,ACC00134,CUST0107,Expense,Healthcare,GymCore,-45.92,Direct Debit,Leeds,True,False,7655.75
TXN0000088,2025-01-03,ACC00136,CUST0108,Expense,Rent,CityRent,-957.99,Direct Debit,Edinburgh,True,False,6398.82
TXN0000089,2025-01-03,ACC00137,CUST0109,Expense,Rent,CityRent,-1315.02,Direct Debit,Cardiff,True,False,5850.65
TXN0000090,2025-01-03,ACC00141,CUST0112,Expense,Rent,CityRent,-1312.36,Direct Debit,Liverpool,True,False,1599.29
TXN0000091,2025-01-03,ACC00142,CUST0113,Expense,Rent,CityRent,-1544.18,Direct Debit,London,True,False,2616.0
TXN0000092,2025-01-04,ACC00002,CUST0002,Expense,Rent,CityRent,-940.25,Direct Debit,Bristol,True,False,541.42
TXN0000093,2025-01-04,ACC00006,CUST0005,Expense,Transport,QuickFuel,-126.39,Credit Card,Online,False,False,7402.53
TXN0000094,2025-01-04,ACC00007,CUST0006,Expense,Rent,CityRent,-1041.07,Direct Debit,Edinburgh,True,False,1545.01
TXN0000095,2025-01-04,ACC00020,CUST0016,Expense,Healthcare,GymCore,-31.56,Direct Debit,Bristol,True,False,1715.16
TXN0000096,2025-01-04,ACC00025,CUST0020,Expense,Healthcare,GymCore,-46.54,Direct Debit,Manchester,True,False,4575.76
TXN0000097,2025-01-04,ACC00028,CUST0022,Expense,Healthcare,GymCore,-57.51,Direct Debit,Liverpool,True,False,5142.01
TXN0000098,2025-01-04,ACC00030,CUST0024,Expense,Rent,CityRent,-1727.78,Direct Debit,Glasgow,True,False,3566.93
TXN0000099,2025-01-04,ACC00032,CUST0026,Expense,Dining,LunchLane,-31.6,Mobile Wallet,Bristol,False,False,1320.18
TXN0000100,2025-01-04,ACC00034,CUST0028,Expense,Rent,CityRent,-1275.77,Direct Debit,Leeds,True,False,1693.03
TXN0000101,2025-01-04,ACC00046,CUST0038,Expense,Rent,CityRent,-1910.55,Direct Debit,Manchester,True,False,996.17
TXN0000102,2025-01-04,ACC00049,CUST0041,Expense,Rent,CityRent,-1082.36,Direct Debit,London,True,False,3400.58
TXN0000103,2025-01-04,ACC00054,CUST0045,Expense,Rent,CityRent,-1798.14,Direct Debit,Birmingham,True,False,4295.59
TXN0000104,2025-01-04,ACC00074,CUST0061,Expense,Rent,CityRent,-1528.44,Direct Debit,Birmingham,True,False,2250.21
TXN0000105,2025-01-04,ACC00075,CUST0062,Expense,Healthcare,GymCore,-39.0,Direct Debit,London,True,False,6080.3
TXN0000106,2025-01-04,ACC00078,CUST0065,Expense,Rent,CityRent,-1411.63,Direct Debit,Edinburgh,True,False,-338.87
TXN0000107,2025-01-04,ACC00083,CUST0069,Expense,Rent,CityRent,-1897.22,Direct Debit,London,True,False,1904.14
TXN0000108,2025-01-04,ACC00086,CUST0071,Expense,Rent,CityRent,-1407.08,Direct Debit,London,True,False,311.81
TXN0000109,2025-01-04,ACC00089,CUST0074,Expense,Rent,CityRent,-1806.7,Direct Debit,Manchester,True,False,1468.99
TXN0000110,2025-01-04,ACC00115,CUST0094,Expense,Healthcare,GymCore,-51.19,Direct Debit,Liverpool,True,False,6840.73
TXN0000111,2025-01-04,ACC00118,CUST0096,Transfer,Transfers,Family Transfer,456.01,Standing Order,London,False,False,8000.72
TXN0000112,2025-01-04,ACC00119,CUST0096,Expense,Rent,CityRent,-1565.11,Direct Debit,Liverpool,True,False,1422.65
TXN0000113,2025-01-04,ACC00120,CUST0097,Expense,Dining,CafeSquare,-165.97,Debit Card,Leeds,False,False,1907.94
TXN0000114,2025-01-04,ACC00125,CUST0100,Expense,Dining,CafeSquare,-157.37,Debit Card,Manchester,False,False,6192.56
TXN0000115,2025-01-04,ACC00135,CUST0107,Expense,Rent,CityRent,-986.85,Direct Debit,Leeds,True,False,7205.17
TXN0000116,2025-01-04,ACC00136,CUST0108,Expense,Healthcare,GymCore,-40.77,Direct Debit,Edinburgh,True,False,6358.05
TXN0000117,2025-01-04,ACC00147,CUST0118,Expense,Rent,CityRent,-1706.99,Direct Debit,Edinburgh,True,False,3437.12
TXN0000118,2025-01-05,ACC00005,CUST0004,Expense,Healthcare,GymCore,-25.91,Direct Debit,Edinburgh,True,False,2890.87
TXN0000119,2025-01-05,ACC00006,CUST0005,Expense,Subscriptions,StreamPlus,-51.9,Direct Debit,Online,True,False,7350.63
TXN0000120,2025-01-05,ACC00008,CUST0007,Expense,Healthcare,GymCore,-66.64,Direct Debit,London,True,False,7502.7
TXN0000121,2025-01-05,ACC00008,CUST0007,Expense,Subscriptions,NewsDesk,-31.79,Direct Debit,Online,True,False,7470.91
TXN0000122,2025-01-05,ACC00008,CUST0007,Expense,Shopping,StyleMarket,-55.61,Credit Card,Edinburgh,False,False,7415.3
TXN0000123,2025-01-05,ACC00015,CUST0012,Expense,Subscriptions,NewsDesk,-49.34,Direct Debit,Online,True,False,3355.01
TXN0000124,2025-01-05,ACC00023,CUST0019,Expense,Shopping,TechCorner,-310.61,Debit Card,Manchester,False,False,450.5
TXN0000125,2025-01-05,ACC00043,CUST0035,Expense,Subscriptions,CloudBox,-40.19,Direct Debit,Online,True,False,5830.14
TXN0000126,2025-01-05,ACC00077,CUST0064,Expense,Healthcare,GymCore,-43.51,Direct Debit,Birmingham,True,False,2781.0
TXN0000127,2025-01-05,ACC00078,CUST0065,Expense,Subscriptions,CloudBox,-30.87,Direct Debit,Online,True,False,-369.74
TXN0000128,2025-01-05,ACC00086,CUST0071,Expense,Healthcare,PharmaCare,-247.22,Mobile Wallet,Online,False,False,64.59
TXN0000129,2025-01-05,ACC00092,CUST0076,Expense,Healthcare,GymCore,-40.25,Direct Debit,Edinburgh,True,False,2565.9
TXN0000130,2025-01-05,ACC00093,CUST0076,Expense,Subscriptions,CloudBox,-30.89,Direct Debit,Online,True,False,-338.69
TXN0000131,2025-01-05,ACC00124,CUST0100,Expense,Subscriptions,NewsDesk,-43.71,Direct Debit,Online,True,False,3655.43
TXN0000132,2025-01-05,ACC00125,CUST0100,Expense,Healthcare,GymCore,-63.33,Direct Debit,Manchester,True,False,6129.23
TXN0000133,2025-01-05,ACC00131,CUST0105,Expense,Healthcare,GymCore,-67.4,Direct Debit,Birmingham,True,False,4979.75
TXN0000134,2025-01-05,ACC00133,CUST0106,Expense,Healthcare,GymCore,-50.26,Direct Debit,London,True,False,1081.02
TXN0000135,2025-01-05,ACC00138,CUST0110,Expense,Entertainment,GameHub,-18.91,Debit Card,Leeds,False,False,3832.37
TXN0000136,2025-01-05,ACC00146,CUST0117,Expense,Subscriptions,StreamPlus,-24.42,Direct Debit,Online,True,False,3485.55
TXN0000137,2025-01-05,ACC00147,CUST0118,Expense,Healthcare,GymCore,-66.92,Direct Debit,Edinburgh,True,False,3370.2
TXN0000138,2025-01-05,ACC00149,CUST0120,Expense,Healthcare,GymCore,-54.77,Direct Debit,Liverpool,True,False,5898.45
TXN0000139,2025-01-06,ACC00001,CUST0001,Expense,Subscriptions,StreamPlus,-35.32,Direct Debit,Online,True,False,7791.04
TXN0000140,2025-01-06,ACC00011,CUST0009,Expense,Transport,MetroTravel,-75.58,Debit Card,Online,False,False,7085.0
TXN0000141,2025-01-06,ACC00018,CUST0014,Expense,Healthcare,GymCore,-51.26,Direct Debit,Leeds,True,False,1347.45
TXN0000142,2025-01-06,ACC00021,CUST0017,Expense,Subscriptions,MusicWave,-15.67,Direct Debit,Online,True,False,3900.4
TXN0000143,2025-01-06,ACC00039,CUST0031,Expense,Healthcare,GymCore,-37.38,Direct Debit,Leeds,True,False,-13.41
TXN0000144,2025-01-06,ACC00045,CUST0037,Expense,Healthcare,GymCore,-51.4,Direct Debit,Leeds,True,False,6522.01
TXN0000145,2025-01-06,ACC00051,CUST0043,Expense,Shopping,TechCorner,-73.82,Debit Card,Leeds,False,False,6398.06
TXN0000146,2025-01-06,ACC00064,CUST0052,Expense,Healthcare,PharmaCare,-47.68,Credit Card,Edinburgh,False,False,3353.45
TXN0000147,2025-01-06,ACC00066,CUST0054,Expense,Healthcare,GymCore,-36.51,Direct Debit,Edinburgh,True,False,2233.32
TXN0000148,2025-01-06,ACC00069,CUST0057,Expense,Healthcare,GymCore,-43.86,Direct Debit,Glasgow,True,False,1395.93
TXN0000149,2025-01-06,ACC00079,CUST0065,Expense,Healthcare,GymCore,-40.44,Direct Debit,Edinburgh,True,False,4270.87
TXN0000150,2025-01-06,ACC00086,CUST0071,Expense,Healthcare,GymCore,-25.82,Direct Debit,London,True,False,38.77
TXN0000151,2025-01-06,ACC00089,CUST0074,Expense,Healthcare,GymCore,-42.14,Direct Debit,Manchester,True,False,1426.85
TXN0000152,2025-01-06,ACC00098,CUST0080,Expense,Healthcare,GymCore,-55.76,Direct Debit,Liverpool,True,False,1671.4
TXN0000153,2025-01-06,ACC00108,CUST0088,Expense,Healthcare,GymCore,-73.87,Direct Debit,Liverpool,True,False,63.66
TXN0000154,2025-01-06,ACC00118,CUST0096,Expense,Healthcare,GymCore,-72.18,Direct Debit,Liverpool,True,False,7928.54
TXN0000155,2025-01-06,ACC00148,CUST0119,Expense,Subscriptions,NewsDesk,-22.55,Direct Debit,Online,True,False,5412.34
TXN0000156,2025-01-07,ACC00014,CUST0011,Expense,Healthcare,GymCore,-76.96,Direct Debit,Glasgow,True,False,4831.69
TXN0000157,2025-01-07,ACC00014,CUST0011,Expense,Groceries,GreenGrocer,-49.34,Credit Card,Leeds,False,False,4782.35
TXN0000158,2025-01-07,ACC00048,CUST0040,Expense,Healthcare,GymCore,-31.38,Direct Debit,Edinburgh,True,False,2928.22
TXN0000159,2025-01-07,ACC00050,CUST0042,Expense,Entertainment,GameHub,-146.57,Debit Card,Online,False,False,1495.47
TXN0000160,2025-01-07,ACC00058,CUST0048,Expense,Healthcare,GymCore,-70.47,Direct Debit,Glasgow,True,False,3826.22
TXN0000161,2025-01-07,ACC00060,CUST0049,Expense,Healthcare,GymCore,-56.98,Direct Debit,Birmingham,True,False,3522.04
TXN0000162,2025-01-07,ACC00074,CUST0061,Expense,Utilities,WaterWorks,-159.33,Direct Debit,Birmingham,True,False,2090.88
TXN0000163,2025-01-07,ACC00074,CUST0061,Expense,Healthcare,GymCore,-73.23,Direct Debit,Birmingham,True,False,2017.65
TXN0000164,2025-01-07,ACC00075,CUST0062,Expense,Subscriptions,MusicWave,-20.68,Direct Debit,Online,True,False,6059.62
TXN0000165,2025-01-07,ACC00084,CUST0070,Expense,Healthcare,GymCore,-64.43,Direct Debit,Bristol,True,False,6833.92
TXN0000166,2025-01-07,ACC00085,CUST0070,Expense,Subscriptions,StreamPlus,-42.21,Direct Debit,Online,True,False,1652.35
TXN0000167,2025-01-07,ACC00094,CUST0077,Expense,Utilities,WaterWorks,-211.13,Direct Debit,London,True,False,3855.14
TXN0000168,2025-01-07,ACC00101,CUST0082,Expense,Healthcare,GymCore,-49.0,Direct Debit,Leeds,True,False,6785.66
TXN0000169,2025-01-07,ACC00104,CUST0085,Expense,Subscriptions,StreamPlus,-25.0,Direct Debit,Online,True,False,2816.19
TXN0000170,2025-01-07,ACC00105,CUST0085,Expense,Healthcare,GymCore,-45.65,Direct Debit,Liverpool,True,False,7447.2
TXN0000171,2025-01-07,ACC00109,CUST0088,Expense,Subscriptions,StreamPlus,-53.66,Direct Debit,Online,True,False,7470.61
TXN0000172,2025-01-07,ACC00114,CUST0093,Expense,Subscriptions,NewsDesk,-54.94,Direct Debit,Online,True,False,634.82
TXN0000173,2025-01-07,ACC00117,CUST0095,Expense,Subscriptions,StreamPlus,-35.66,Direct Debit,Online,True,False,5564.35
TXN0000174,2025-01-07,ACC00124,CUST0100,Expense,Utilities,MobileConnect,-133.11,Direct Debit,Manchester,True,False,3522.32
TXN0000175,2025-01-07,ACC00132,CUST0106,Expense,Groceries,GreenGrocer,-65.29,Credit Card,Leeds,False,False,7552.42
TXN0000176,2025-01-07,ACC00142,CUST0113,Expense,Utilities,MobileConnect,-266.18,Direct Debit,London,True,False,2349.82
TXN0000177,2025-01-07,ACC00147,CUST0118,Expense,Utilities,MobileConnect,-79.81,Direct Debit,Birmingham,False,False,3290.39
TXN0000178,2025-01-08,ACC00003,CUST0003,Expense,Utilities,WaterWorks,-210.3,Direct Debit,Glasgow,True,False,7014.03
TXN0000179,2025-01-08,ACC00003,CUST0003,Expense,Subscriptions,NewsDesk,-54.54,Direct Debit,Online,True,False,6959.49
TXN0000180,2025-01-08,ACC00013,CUST0010,Expense,Subscriptions,MusicWave,-29.96,Direct Debit,Online,True,False,1033.61
TXN0000181,2025-01-08,ACC00014,CUST0011,Expense,Subscriptions,StreamPlus,-29.26,Direct Debit,Online,True,False,4753.09
TXN0000182,2025-01-08,ACC00015,CUST0012,Expense,Transport,MetroTravel,-122.54,Debit Card,Edinburgh,False,False,3232.47
TXN0000183,2025-01-08,ACC00026,CUST0021,Expense,Utilities,PowerGrid,-181.54,Direct Debit,Birmingham,True,False,5239.01
TXN0000184,2025-01-08,ACC00030,CUST0024,Expense,Subscriptions,NewsDesk,-33.0,Direct Debit,Online,True,False,3533.93
TXN0000185,2025-01-08,ACC00052,CUST0043,Expense,Entertainment,GameHub,-120.5,Credit Card,Glasgow,False,False,5802.21
TXN0000186,2025-01-08,ACC00055,CUST0046,Expense,Utilities,MobileConnect,-140.91,Direct Debit,Cardiff,True,False,2124.16
TXN0000187,2025-01-08,ACC00057,CUST0047,Expense,Utilities,WaterWorks,-219.29,Direct Debit,Manchester,True,False,1680.26
TXN0000188,2025-01-08,ACC00061,CUST0050,Expense,Utilities,MobileConnect,-132.18,Direct Debit,Edinburgh,True,False,-1005.01
TXN0000189,2025-01-08,ACC00061,CUST0050,Expense,Subscriptions,CloudBox,-31.04,Direct Debit,Online,True,False,-1036.05
TXN0000190,2025-01-08,ACC00062,CUST0051,Expense,Utilities,MobileConnect,-232.03,Direct Debit,Manchester,True,False,5004.22
TXN0000191,2025-01-08,ACC00066,CUST0054,Expense,Utilities,WaterWorks,-239.23,Direct Debit,Edinburgh,True,False,1994.09
TXN0000192,2025-01-08,ACC00068,CUST0056,Expense,Utilities,PowerGrid,-286.81,Direct Debit,Glasgow,True,False,6837.66
TXN0000193,2025-01-08,ACC00075,CUST0062,Expense,Utilities,WaterWorks,-292.4,Direct Debit,London,True,False,5767.22
TXN0000194,2025-01-08,ACC00085,CUST0070,Expense,Utilities,MobileConnect,-204.35,Direct Debit,Bristol,True,False,1448.0
TXN0000195,2025-01-08,ACC00088,CUST0073,Expense,Utilities,PowerGrid,-172.89,Direct Debit,Bristol,True,False,7785.97
TXN0000196,2025-01-08,ACC00104,CUST0085,Expense,Dining,CafeSquare,-112.21,Mobile Wallet,Bristol,False,False,2703.98
TXN0000197,2025-01-08,ACC00111,CUST0090,Expense,Utilities,MobileConnect,-138.22,Direct Debit,Liverpool,True,False,6024.7
TXN0000198,2025-01-08,ACC00117,CUST0095,Expense,Utilities,MobileConnect,-196.8,Direct Debit,Liverpool,True,False,5367.55
TXN0000199,2025-01-08,ACC00128,CUST0103,Expense,Utilities,MobileConnect,-199.58,Direct Debit,Glasgow,True,False,2151.04
TXN0000200,2025-01-08,ACC00139,CUST0110,Expense,Groceries,GreenGrocer,-81.49,Credit Card,Edinburgh,False,False,4886.56
TXN0000201,2025-01-09,ACC00017,CUST0014,Expense,Shopping,ShopHub,-119.08,Debit Card,Glasgow,False,False,4529.27
TXN0000202,2025-01-09,ACC00024,CUST0019,Expense,Subscriptions,CloudBox,-37.9,Direct Debit,Online,True,False,7193.57
TXN0000203,2025-01-09,ACC00029,CUST0023,Expense,Utilities,WaterWorks,-225.65,Direct Debit,Cardiff,True,False,6767.23
TXN0000204,2025-01-09,ACC00030,CUST0024,Expense,Utilities,PowerGrid,-127.47,Direct Debit,Glasgow,True,False,3406.46
TXN0000205,2025-01-09,ACC00039,CUST0031,Expense,Utilities,MobileConnect,-105.35,Direct Debit,Leeds,True,False,-118.76
TXN0000206,2025-01-09,ACC00042,CUST0034,Expense,Subscriptions,MusicWave,-26.43,Direct Debit,Online,True,False,4376.67
TXN0000207,2025-01-09,ACC00047,CUST0039,Expense,Utilities,PowerGrid,-192.16,Direct Debit,Bristol,True,False,6458.03
